prompt,hissab_expressions
"Calculate the least common multiple of 12, 18, and 24.","lcm(12, 18, 24)"
"Calculate the greatest common divisor of 12, 18, and 24.","gcd(12, 18, 24)"
"How many permutations of 5 items taken 3 at a time?","5 perm 3"
"How many combinations of 5 items taken 3 at a time?","5 comb 3"
"What is the natural logarithm of 10?","log 10"
"What is the base 10 logarithm of 100?","log10 100"
"What is the base 2 logarithm of 8?","log2 8"
"What is the average of 10, 20, 30, 40, and 50?","avg(10, 20, 30, 40, 50)"
"What is the harmonic mean of 2, 4, and 8?","harmonic mean(2, 4, 8)"
"What is the geometric mean of 2, 8, and 32?","geometric mean(2, 8, 32)"
"What is the standard deviation of 1, 2, 3, 4, 5?","standard deviation(1, 2, 3, 4, 5)"
"What is the variance of 1, 2, 3, 4, 5?","variance(1, 2, 3, 4, 5)"
"What is the median of 1, 3, 2, 5, 4?","median(1, 3, 2, 5, 4)"
"What is the range of 1, 2, 3, 4, 5?","range(1, 2, 3, 4, 5)"
"What is the sine of 30 degrees?","sin 30 degrees"
"What is the cosine of 60 degrees?","cos 60 degrees"
"What is the tangent of 45 degrees?","tan 45 degrees"
"What is the secant of pi/4 radians?","sec (pi/4) radians"
"What date is 7 days after 2023.10.26?","2023.10.26 + 7 days"
"What date was 10 days before 2023.10.26?","2023.10.26 - 10 days"
"How many hours are between 2023.10.26 and 2023.10.28?","2023.10.26 - 2023.10.28 to hours"
"Calculate age from 1995.05.15.","today - 1995.05.15 to years"
"Convert 2023.10.26 12:00:00 to unix epoch.","2023.10.26 12:00:00 to epoch"
"Convert 1677600000 to human date.","1677600000 to human date"
"What is the current time in Tokyo?","now in Tokyo"
"Convert 3:00 pm pst to est.","3:00 pm pst in est"
"Convert binary 1101 to decimal.","0b1101 to decimal"
"Calculate binary 1101 plus hexadecimal 1A.","0b1101 + 0x1A"
"What is the NOT of binary 0101?","~0b0101"
"Calculate 10 AND 5.","10 & 5"
"Calculate 10 OR 5.","10 | 5"
"Calculate 10 XOR 5.","10 xor 5"
"Right shift 16 by 2 bits.","16 >> 2"
"Add 15, 27 and 39","15+27+39"
"Multiply 12 by 15 and subtract 25","(12*15)-25"
"What is 5 to the power of 4 plus 10 factorial?","5^4 + 10!"
"Absolute value of -345 plus 200","abs(-345) + 200"
"Calculate 30% of 4500","30% of 4500"
"What is 1500 minus 25% discount?","1500 - 25%"
"If 40% of a number is 120, what is the number?","40% of what is 120"
"Add 15% to 780","15% + 780"
"Convert 5 feet to inches","5 feet to inches"
"How many miles is 42 kilometers?","42 kilometers to miles"
"Convert 3 gallons to liters","3 gallons to liters"
"Convert 98°F to Celsius","98 Fahrenheit to Celsius"
"Break down 2.5 miles into yards, feet and inches","2.5 miles to yards, feet, inches"
"Add 5 kilograms and 3 pounds","5 kilograms + 3 pounds"
"Find the maximum of 15, 78, 23, and 91","max(15, 78, 23, 91)"
"Least common multiple of 12, 15 and 20","lcm(12, 15, 20)"
"How many combinations of 5 items from 12?","12 comb 5"
"Number of permutations for 3 items from 8","8 perm 3"
"Natural log of 50","log 50"
"Log base 10 of 1000","log10 1000"
"Sine of 45 degrees","sin 45 degrees"
"Tangent of π/4 radians","tan (pi/4) radians"
"Average of 15, 78, 23, 91","avg(15, 78, 23, 91)"
"Standard deviation of 10,20,30,40,50","standard deviation(10,20,30,40,50)"
"Median of 12,45,78,23,56","median(12,45,78,23,56)"
"What date is 3 weeks after July 4 2023?","July 4 2023 + 3 weeks"
"How many days between Jan 1 2023 and Mar 15 2023?","Jan 1 2023 - Mar 15 2023 to days"
"Convert 3:30 PM PST to Beijing time","3:30 PM PST in Beijing"
"What is today's date plus 10 days?","today + 10 days"
"Unix timestamp for noon on Dec 25 2023","Dec 25 2023 12:00 PM to timestamp"
"Convert binary 101010 to decimal","0b101010 to decimal"
"Add hexadecimal FF and binary 1010","0xFF + 0b1010"
"Convert decimal 255 to hexadecimal","255 to hexadecimal"
"Bitwise AND of 15 and 7","15 & 7"
"Left shift 25 by 3 bits","25 << 3"
"Bitwise NOT of binary 1010","~0b1010"
"Convert #FF00FF to RGB","#FF00FF to rgb color"
"Mix red and blue colors","red + blue"
"Darker version of #AABBCC by 0.5","#AABBCC + 0.5"
"Complementary color of green","~green"
"Calculate (15% of 200) plus (3^4) minus the average of 10,20,30","(15% of 200) + (3^4) - avg(10,20,30)"
"Convert 5 feet 3 inches to centimeters","5 feet 3 inches to centimeters"
"If I was born on June 15 1985, how many days have I lived?","today - June 15 1985 to days"
"What is the hexadecimal result of (255 AND 0b11001100) plus 25?","(255 & 0b11001100) + 25 to hexadecimal"
"Calculate the hypotenuse of a right triangle with sides 3 and 4","(3^2 + 4^2)^(1/2)"
"Convert 1 million seconds to days, hours, minutes","1 million seconds to days, hours, minutes"
"What is 15% of the average of 100, 200, and 300?","15% of avg(100, 200, 300)"
"How many cubic inches is a 5 gallon bucket?","5 gallon to cubic inches"
"Calculate the time difference between 3:30 PM PST and 5:45 AM GMT tomorrow","5:45 AM GMT - 3:30 PM PST to hours"
"What is the factorial of the number of combinations of 5 from 10?","num_combinations = 10 comb 5,result = num_combinations!"
"Convert the result of (2^10) to binary and then to hexadecimal","value = (2^10),value_to_binary = value to binary,value_to_hex = value to hexadecimal"
"Calculate the percentage difference between 150 and 200","((200-150)/150) * 100"
"What is the date 3 quarters from today?","today + 3 * 3 months"
"Convert 1 astronomical unit to kilometers and miles","1 astronomical unit to kilometers, miles"
"Calculate the harmonic mean of prime numbers under 10","harmonic mean(2,3,5,7)"
"What is 5 squared plus 3 cubed?","5^2 + 3^3"
"Calculate 14 + 88 divided by 11 multiplied by 23.56 minus 17","14 + 88/11 * 23.56 - 17"
"What's the result of 256 to the power of one-eighth?","256^(1/8)"
"Find the factorial of 5","5!"
"Compute 10 modulo 7","10 mod 7"
"What is the absolute value of negative 234?","abs(-234)"
"What is 25 percent of 200?","25% of 200"
"Apply a 30 percent discount to 2478","2478 - 30%"
"Add 78 percent to 873","78% + 873"
"What number, when 33 percent is taken, equals 3000?","33% of what is 3000"
"Convert 15 kilometers to miles","15 kilometers to miles"
"Break down 9234 miles into yards, feet, and inches","9234 miles to yards, feet, inches"
"Add 13 kilograms and 12 pounds","13 kilograms + 12 pounds"
"Convert 100 Celsius to Fahrenheit","100 Celsius to Fahrenheit"
"How many cubic meters are in 50 gallons?","50 gallons to cubic meters"
"What's the maximum value among 10 million, 30k, 7.7 million, and 123123121234?","max(10 million, 30k, 7.7 million, 123123121234)"
"Find the minimum of those same numbers","min(10 million, 30k, 7.7 million, 123123121234)"
"Calculate the least common multiple of 12, 15, 18, and 25","lcm(12,15,18,25)"
"Determine the greatest common divisor of 12, 15, 18, and 25","gcd(12,15,18,25)"
"How many ways can I pick 3 people from a group of 10?","10 comb 3"
"How many ways can I select a captain, pitcher, and shortstop from 10 people?","10 perm 3"
"Calculate the natural log of 20","log 20"
"Find log base 10 of 20","log10 20"
"Compute log base 2 of 20","log2 20"
"What is the average of 99, 34, 65, 213, 45, and 123?","avg(99,34,65,213,45,123)"
"Calculate the harmonic mean of those numbers","harmonic mean(99,34,65,213,45,123)"
"Find the geometric mean of those numbers","geometric mean(99,34,65,213,45,123)"
"Compute the standard deviation","standard deviation(99,34,65,213,45,123)"
"Calculate the variance","variance(99,34,65,213,45,123)"
"Determine the median of those numbers","median(99,34,65,213,45,123)"
"What is the range of those numbers?","range(99,34,65,213,45,123)"
"What is the sine of 45 degrees?","sin 45 degrees"
"Calculate cosine of 60 degrees","cos 60 degrees"
"Find tangent of 30 degrees","tan 30 degrees"
"Compute secant of 0.785 radians","sec 0.785 radians"
"What date is 5 days after August 7th, 2020?","August 7 2020 + 5 days"
"What date is 5 days before August 7th, 2020?","August 7 2020 - 5 days"
"How many minutes are between August 7th, 2020, and September 9th, 2020?","August 7 2020 - September 9 2020 to minutes"
"If I was born on February 1st, 1990, how old am I today?","today - February 1 1990 to years"
"Find the Unix time for March 6th, 2022, at 7:23:30 PM","March 6 2022 7:23:30 PM to unix"
"Convert binary 10011010 to decimal","0b10011010 to decimal"
"Add binary 10011010, hexadecimal 12ab2e4, and subtract octal 12341","0b10011010 + 0x12ab2e4 - 0o12341"
"What is the binary representation of this addition?","(0b10011010 + 0x12ab2e4 - 0o12341) to binary"
"Perform a bitwise NOT on binary 011010","~0b011010"
"Do a bitwise AND between 123123 and binary 100101","123123 & 0b100101"
"Perform a bitwise OR between binary 1011010 and hexadecimal 123abe23","0b1011010 | 0x123abe23"
"Do a bitwise XOR between octal 1024123 and binary 0101101001","0o1024123 xor 0b0101101001"
"Right shift 12342 by 5 positions","12342 >> 5"
"Left shift 72318379 by 3 positions","72318379 << 3"
"Convert hex color #ffa2b3 to RGB","#ffa2b3 to rgb color"
"Mix the colors red (#ff0000) and blue (#0000ff)","#ff0000 + #0000ff"
"Find the color temperature of #8100ff","#8100ff to color temperature"
"Make #ffa2b3 one shade darker","#ffa2b3 + 1"
"Make #ffa2b3 one shade lighter","#ffa2b3 - 1"
"Get the complimentary color of red","~red"
"Convert 78 kilometers to miles and compare with 45 miles","78 kilometers to miles,prev - 45 miles"
"Calculate the average of your age in different units: years, months, weeks, and days",""
"Find the color that's the combination of your birthday date and your favorite number's hex representation",""
"add 15.5, 23, and 7.8","15.5+23+7.8"
"subtract 99 from 1024","1024-99"
"multiply 18 by 3.14","18*3.14"
"divide 2048 by 128","2048/128"
"calculate 7 to the power of 4","7^4"
"what is the square root of 169?","169^(1/2)"
"compute the factorial of 7","7!"
"what is the remainder when 123 is divided by 11?","123 mod 11"
"absolute difference between 50 and -150","abs(50 - (-150))"
"compute (10 + 5) * 3 - 2^3 / 4","(10+5)*3 - 2^3/4"
"find 35% of 1500","35% of 1500"
"what is the price of a $99 item after a 15% discount?","$99 - 15%"
"increase 500 by 12%","12% + 500"
"75 is 20% of what number?","20% of what is 75"
"calculate a 20% tip on a $85.50 bill","20% of $85.50"
"convert 25 kilometers to miles","25 kilometers to miles"
"how many feet are in 300 meters?","300 meters to feet"
"express 10 kilometers in yards, feet, and inches","10 kilometers to yards, feet, inches"
"add 5 feet 8 inches and 1.5 meters","(5 feet + 8 inches) + 1.5 meters"
"subtract 500 grams from 2 kilograms","2 kilograms - 500 grams"
"convert 70 Fahrenheit to Celsius","70 Fahrenheit to Celsius"
"how many gallons is 20 litres?","20 litres to gallons"
"convert 2 square miles to acres","2 square miles to acres"
"what is 10 megabytes in kilobytes?","10 megabytes to kilobytes"
"convert 3 hours and 15 minutes to seconds","3 hours 15 minutes to seconds"
"2 light years to astronomical units","2 light years to astronomical units"
"Convert 100 knots to km/h (requires Hissab to understand knots as nautical miles per hour)",""
"find the maximum of 1.2 million, 500k, and 9 hundred thousand","max(1.2 million, 500k, 9 hundred thousand)"
"what is the smallest value among 0.01, 0.005, 0.015?","min(0.01, 0.005, 0.015)"
"find the least common multiple of 12, 15, and 20","lcm(12, 15, 20)"
"find the greatest common divisor of 48, 72, and 120","gcd(48, 72, 120)"
"how many ways to arrange 4 books out of 9 on a shelf?","9 perm 4"
"how many ways to choose a committee of 3 people from 8?","8 comb 3"
"natural logarithm of 50","log 50"
"calculate log base 10 of 10000","log10 10000"
"what is log base 2 of 1024?","log2 1024"
"find the average of 10, 15, 20, 25, 30","avg(10, 15, 20, 25, 30)"
"calculate the harmonic mean of 1, 2, and 4","harmonic mean(1, 2, 4)"
"geometric mean of 2, 8, 32","geometric mean(2, 8, 32)"
"find the standard deviation of the numbers 2, 4, 4, 4, 5, 5, 7, 9","standard deviation(2, 4, 4, 4, 5, 5, 7, 9)"
"compute the variance for 100, 150, 120, 130","variance(100, 150, 120, 130)"
"what is the median of 3, 1, 4, 1, 5, 9, 2, 6?","median(3, 1, 4, 1, 5, 9, 2, 6)"
"find the range of values: 10, 5, 25, 15, 30","range(10, 5, 25, 15, 30)"
"calculate the sine of 90 degrees","sin 90 degrees"
"what is the cosine of pi/3 radians?","cos (pi/3) radians"
"find the tangent of 45 deg","tan 45 degrees"
"calculate the inverse cosine of 0.5 in degrees","acos 0.5 to degrees"
"compute the hyperbolic sine of 1","sinh 1"
"secant of 60 degrees","sec 60 degrees"
"what date is 15 days after 2023.11.10?","2023.11.10 + 15 days"
"what date was 6 months before today?","today - 6 months"
"how many weeks are between March 1, 2024 and August 15, 2024?","March 1, 2024 - August 15, 2024 to weeks"
"calculate my exact age in years, months, and days if I was born on 12 Jan 1988","today - 12 Jan 1988 to years, months, days"
"find the unix epoch time for New Year's Day 2025 midnight UTC","New Year's Day 2025 00:00:00 UTC to epoch"
"convert timestamp 1678886400 to human readable date and time","1678886400 to human date"
"what is the current time in New Delhi?","now in New Delhi"
"If it's 3 PM in London, what time is it in Los Angeles (PST)?","3 PM London in PST"
"What day of the week will Christmas be in 2025? (Might require post-processing or specific Hissab function not listed, but implies date calculation)","Christmas 2025"
"convert binary 1110101 to decimal","0b1110101 to decimal"
"show 100 in hexadecimal","100 to hexadecimal"
"convert octal 177 to binary","0o177 to binary"
"calculate 0xAF + 0b1001 - 0o77 and show the result in octal","(0xAF + 0b1001 - 0o77) to octal"
"bitwise NOT of 12 in binary representation (assuming 8-bit)","~12 to binary"
"compute 255 AND 170","255 & 170"
"0b101010 OR 0b010101","0b101010 | 0b010101"
"55 XOR 22","55 xor 22"
"right shift the number 240 by 4 bits","240 >> 4"
"left shift 15 by 3 bits","15 << 3"
"convert hex color #aabbcc to rgb","#aabbcc to rgb color"
"what is the hex code for the color magenta?","magenta to hex color"
"mix the colors #FF0000 and #00FF00","#FF0000 + #00FF00"
"find the color temperature of white","white to color temperature"
"make the color navy 30% lighter","navy - 0.3"
"give me a 50% darker version of #00FF00","#00FF00 + 1.5"
"what is the complementary color of cyan?","~cyan"
"Convert 50 miles per hour to kilometers per hour. Then tell me how many meters per second that is.",""
"Calculate the area of a circle with radius 5 meters. Then convert that area to square feet. (Area = pi*r^2)","area_val = pi * 5^2,area_sq_meters = area_val square meters,area_sq_ft = area_sq_meters to square feet"
"What is 10 factorial? Then find the natural log of the result.","factorial_val = 10!,log_result = log factorial_val"
"Find the date 100 days from today. What day of the week is that?","date_100_days_later = today + 100 days"
"Calculate 25% of 800. Then subtract that amount from 1000.","amount = 25% of 800,result = 1000 - amount"
"I earn $4500 per month, spend $1200 on rent, $600 on food, and $200 on utilities. How much do I save per year?","monthly_savings = $4500 - $1200 - $600 - $200,yearly_savings = monthly_savings monthly to yearly"
"I invest $5000 today with an annual return of 7%. What will it be worth in 20 years?","$5000 * (1 + 0.07)^20"
"My loan balance is $250,000 at 5% annual interest. If I pay $1500 per month, how long will it take to pay off?",""
"I save $300 per month and earn 5% annual interest, compounded monthly. How much will I have in 15 years?","$300 * (((1 + (0.05/12))^(15*12) - 1) / (0.05/12))"
"I bought an item for $2499 and got a 15% discount. How much did I pay?","$2499 - 15%"
"My salary increases by 4% per year. If I start with $60,000, what will it be in 5 years?","$60000 * (1 + 0.04)^5"
"If a store is offering 25% off on an item originally priced at $120, and I have a $10 coupon, how much do I pay?","($120 - 25%) - $10"
"If I start a 2-hour movie at 7:30 PM, what time will it end?","7:30 PM + 2 hours"
"I was born on 15th June 1995. How old am I today?","today - 15 June 1995 to years"
"If my flight lands in New York at 8:00 AM PST, what time is that in GMT?","8:00 AM PST in GMT"
"How many days are left until Christmas?","Christmas - today to days"
"I ran 5 kilometers today. How many miles is that?","5 kilometers to miles"
"I need 2 gallons of water. How many liters is that?","2 gallons to liters"
"If I weigh 70 kilograms, how many pounds is that?","70 kilograms to pounds"
"Convert 78°F to Celsius.","78 Fahrenheit to Celsius"
"How many seconds are in 2 weeks?","2 weeks to seconds"
"If I consume 2500 calories per day and burn 2800 calories, how much weight will I lose in a month? (Assume 7700 calories = 1 kg)","daily_calorie_deficit = 2800 - 2500,monthly_calorie_deficit = daily_calorie_deficit * (1 month to days),weight_loss_kg = monthly_calorie_deficit / 7700"
"I drink 8 glasses of water daily, each glass is 250ml. How much water do I consume in a year?","daily_water_ml = 8 * 250 ml,yearly_water_liters = daily_water_ml daily to yearly"
"How much is the gravitational force between two 5kg masses separated by 2 meters? (Use G = 6.674×10⁻¹¹)","(6.674e-11 * 5 * 5) / (2^2)"
"If a car accelerates at 3 m/s² for 10 seconds, how fast will it be going?","3 * 10"
"What is the speed of light in miles per second?",""
"Find the largest of these values: 23, 45, 67, 89, 101, 34.","max(23, 45, 67, 89, 101, 34)"
"What is the average of 87, 93, 102, 115, and 120?","avg(87, 93, 102, 115, 120)"
"Find the standard deviation of 12, 14, 19, 22, 25.","standard deviation(12, 14, 19, 22, 25)"
"What is the binary representation of 873?","873 to binary"
"Perform bitwise AND on 0b1101 and 0b1011.","0b1101 & 0b1011"
"Convert the color #ffa500 to RGB.","#ffa500 to rgb color"
"What is the complementary color of blue?","~blue"
"If I start a business with $10,000 and earn 20% profit every year, how much will I have in 5 years?","$10000 * (1 + 0.20)^5"
"A rectangle has a length of 12 meters and width of 8 meters. What is its area in square feet?","area_sq_m = 12 * 8,area_sq_ft = area_sq_m square meters to square feet"
"If a car travels 60 miles per hour, how long will it take to cover 150 miles?","150 / 60"
"I work 40 hours per week and earn $25 per hour. What is my monthly salary before taxes?","(40 * $25) weekly to monthly"
"I start a savings account with $5000 and add $200 every month. How much will I have in 3 years?",""
"My trip distance is 400 miles, and my car gives 30 miles per gallon. Gas costs $3.50 per gallon. What is my fuel cost?","gallons_needed = 400 / 30,fuel_cost = gallons_needed * $3.50"
"If my daily commute is 22 miles, how many hours do I spend commuting in a year? (Assume 250 workdays)",""
"My monthly income is $6,200. I spend $1,800 on rent, $400 on utilities, $600 on food, and $350 on transportation. I also have a student loan payment of $200 per month. If I save 15% of my remaining income, how much will I have saved in 5 years?","total_expenses = $1800 + $400 + $600 + $350 + $200,remaining_income = $6200 - total_expenses,monthly_savings = 15% of remaining_income,yearly_savings = monthly_savings monthly to yearly,savings_in_5_years = yearly_savings * 5"
"I want to invest $10,000 in a stock that has an average annual return of 8%. How much will my investment be worth in 20 years, assuming compound interest?","$10000 * (1 + 0.08)^20"
"I'm buying a house for $350,000 with a 20% down payment. I'm getting a 30-year mortgage at a 4.5% interest rate. What will my monthly mortgage payment be?",""
"I have a credit card with a balance of $2,500 and an APR of 18%. If I only make the minimum payment of $50 per month, how long will it take to pay off the balance?",""
"Calculate my net worth if I have $50,000 in savings, $20,000 in stocks, a car worth $15,000, and a student loan of $10,000 and credit card debt of 5000.","$50000 + $20000 + $15000 - $10000 - $5000"
"If I drive at an average speed of 65 miles per hour, how long will it take me to travel 350 kilometers?","distance_miles = 350 kilometers to miles,time_hours = distance_miles / 65"
"I'm planning a trip from London to Tokyo. If the flight time is 12 hours and 30 minutes, and I leave London at 10:00 AM GMT, what time will I arrive in Tokyo local time?","(10:00 AM GMT + 12 hours 30 minutes) in Tokyo"
"If a plane is flying at 500 knots, how many miles will it travel in 3 hours?",""
"A recipe calls for 2 cups of flour, but I only want to make half the recipe. How much flour do I need in tablespoons?","(2 cups * 0.5) to tablespoons"
"Convert a baking temperature of 350 degrees Fahrenheit to Celsius.","350 Fahrenheit to Celsius"
"Calculate the area of a circle with a diameter of 10 centimeters.","radius_cm = 10/2,area_sq_cm = pi * radius_cm^2,result = area_sq_cm square centimeters"
"If an object is falling from a height of 100 meters, how long will it take to reach the ground, ignoring air resistance?","(2 * 100 / 9.81)^(1/2)"
"What is the hypotenuse of a right-angled triangle with sides of 3 inches and 4 inches?","((3 inches)^2 + (4 inches)^2)^(1/2)"
"I want to mix a red (#FF0000) paint with a blue (#0000FF) paint. What is the resulting color in RGB?","(#FF0000 + #0000FF) to rgb color"
"What is the complimentary color to rgb(100, 150, 200)?","~rgb(100, 150, 200)"
"I have a dataset of test scores: 78, 85, 92, 68, 75, 89. What is the average and standard deviation of these scores?","average_score = avg(78, 85, 92, 68, 75, 89),std_dev_score = standard deviation(78, 85, 92, 68, 75, 89)"
"If I have 10 gigabytes of data, how many megabytes is that?","10 gigabytes to megabytes"
"My salary is 5,500/month.I pay 2,100 in rent, 300 in car payments, 550 for groceries, and earn an extra $800/month. How much can I save in 10 years?","monthly_income = 5500 + 800,monthly_expenses = 2100 + 300 + 550,monthly_savings = monthly_income - monthly_expenses,yearly_savings = monthly_savings monthly to yearly,ten_year_savings = yearly_savings * 10"
"If I invest $300 monthly at 7% annual return, compounded monthly, how much will I have after 20 years?","$300 * (((1 + (0.07/12))^(20*12) - 1) / (0.07/12))"
"I bought a house for $350,000 with a 20% down payment and a 30-year mortgage at 4.5% APR. What’s my monthly payment?",""
"If I spend 120 on groceries, 80 on dining, 60 on gas, and 200 on entertainment per week, how much do I spend yearly?","weekly_spending = 120 + 80 + 60 + 200,yearly_spending = weekly_spending weekly to yearly"
"15,000 loan at 6400 monthly, how long until it’s paid off?",""
"If a stock grows from 120 to 185 in 3 years, what’s the annualized return?","((185/120)^(1/3) - 1) * 100"
"A startup’s revenue grows from 50k to 200k in 4 years. What’s the CAGR?","((200000/50000)^(1/4) - 1) * 100"
"If a company’s profit margin is 15% and revenue is $1.2M, what’s the net profit?","15% of $1.2M"
"If I sell a product for $45 with a 30% margin, what’s my cost price?","$45 * (1 - 0.30)"
"If I get a 5% raise every year from a $60,000 salary, what will my salary be in 7 years?","$60000 * (1 + 0.05)^7"
"If I burn 500 calories per workout and do 4 workouts a week, how many pounds will I lose in 3 months (assuming 3,500 calories = 1 lb)?","weekly_calories_burned = 500 * 4,calories_burned_3_months = weekly_calories_burned * (3 months to weeks),pounds_lost = calories_burned_3_months / 3500"
"If I walk 8,000 steps daily, how many miles is that in a year (2,000 steps ≈ 1 mile)?","daily_miles = 8000 / 2000,yearly_miles = daily_miles * (1 year to days)"
"If I drink 2.5 liters of water daily, how many gallons is that per year?","(2.5 liters daily to yearly) to gallons"
"If my protein intake is 1.6g per kg of body weight and I weigh 75kg, how much protein do I need daily?","1.6 * 75"
"If my car gets 28 MPG and gas costs $3.50/gallon, how much does a 450-mile trip cost?","gallons_needed = 450 / 28,trip_cost = gallons_needed * $3.50"
"If I drive 15,000 miles a year with a 30 MPG car, how much do I spend on gas at $3.80/gallon?","gallons_per_year = 15000 / 30,gas_cost_yearly = gallons_per_year * $3.80"
"A flight from NYC to London is 7 hours. If I leave at 3:45 PM EST, what’s the arrival time in GMT?","(3:45 PM EST + 7 hours) in GMT"
"If a train travels 220 km in 1h 45m, what’s its average speed in mph?",""
"If my electricity bill is $120/month and I install solar panels that save 60%, what’s my new bill?","$120 - 60%"
"If my water heater uses 4500 watts and runs 3 hours/day, how much does it cost monthly at $0.12/kWh?","daily_kwh = (4500/1000) * 3,monthly_kwh = daily_kwh * (1 month to days),monthly_cost = monthly_kwh * $0.12"
"If a room is 12ft × 15ft with 8ft ceilings, how many gallons of paint are needed (1 gallon covers 350 sq ft)?","wall_area1 = 2 * (12 ft * 8 ft),wall_area2 = 2 * (15 ft * 8 ft),total_wall_area_sq_ft = wall_area1 + wall_area2,gallons_needed = total_wall_area_sq_ft / (350 square feet)"
"If I study 2 hours daily, how many hours is that in a 4-year college degree?","(2 hours daily to yearly) * 4"
"If a book has 450 pages and I read 15 pages/day, how many days to finish?","450 / 15"
"If I work 8 hours/day, 5 days/week, with 3 weeks vacation, how many hours do I work yearly?","work_weeks_per_year = (1 year to weeks) - 3 weeks,work_hours_per_year = (8 * 5) * work_weeks_per_year"
"What’s the volume of a cylinder with radius 5cm and height 12cm in cubic inches?","volume_cm3_val = pi * (5^2) * 12,volume_cm3 = volume_cm3_val cubic centimeters,volume_in3 = volume_cm3 to cubic inches"
"If a car accelerates from 0 to 60 mph in 4.5 seconds, what’s its acceleration in m/s²?",""
"If a circuit has a 12V battery and 3 resistors (4Ω, 6Ω, 8Ω) in series, what’s the current?","total_resistance = 4 + 6 + 8,current = 12 / total_resistance"
